iter	MultiClass
801	0.2218398004
802	0.2218306076
803	0.2218216108
804	0.2218085008
805	0.2217987995
806	0.2217876403
807	0.2217757161
808	0.2217603215
809	0.2217477216
810	0.2217351323
811	0.221722362
812	0.221709412
813	0.2216981669
814	0.2216732939
815	0.2216606936
816	0.2216492369
817	0.2216351705
818	0.2216204455
819	0.2216064476
820	0.2215927971
821	0.2215814503
822	0.2215661102
823	0.2215577299
824	0.2215241274
825	0.2215150796
826	0.2214925492
827	0.2214759621
828	0.22146442
829	0.2214527224
830	0.221440528
831	0.2214301553
832	0.2214178674
833	0.2214047993
834	0.2213959352
835	0.221381767
836	0.2213529308
837	0.2213341681
838	0.2213142522
839	0.2212993336
840	0.2212874026
841	0.2212772824
842	0.2212642405
843	0.2212513838
844	0.2212350582
845	0.2212281889
846	0.2212120957
847	0.2211625373
848	0.2211570741
849	0.2211452771
850	0.2211359153
851	0.2211229906
852	0.2211124567
853	0.22108941
854	0.2210775465
855	0.2210678453
856	0.2210538424
857	0.2210456316
858	0.2210371539
859	0.2210246838
860	0.2209891188
861	0.2209590171
862	0.2209476012
863	0.2209357692
864	0.2209225308
865	0.2209085717
866	0.2209013848
867	0.2208700777
868	0.2208538659
869	0.2208389679
870	0.2208313003
871	0.2208127924
872	0.220800332
873	0.2207897555
874	0.2207791434
875	0.2207664902
876	0.220753775
877	0.2207420543
878	0.2207284349
879	0.2207135953
880	0.2206964711
881	0.2206825141
882	0.2206644482
883	0.2206509882
884	0.2206400651
885	0.2206223064
886	0.2206072025
887	0.2205974824
888	0.2205880169
889	0.2205741547
890	0.2205557501
891	0.2205341761
892	0.2205175505
893	0.2205058926
894	0.2204948887
895	0.2204850085
896	0.2204746886
897	0.220461035
898	0.2204455542
899	0.2204363528
900	0.2204294469
901	0.2204012425
902	0.2203737726
903	0.220360411
904	0.2203455716
905	0.2203213722
906	0.2203121975
907	0.2203053553
908	0.2202948568
909	0.2202656762
910	0.2202570677
911	0.2202430024
912	0.2202248124
913	0.2202106259
914	0.2201971741
915	0.2201659012
916	0.2201543048
917	0.2201256647
918	0.220113436
919	0.2200953881
920	0.2200813411
921	0.2200713728
922	0.2200626408
923	0.220048504
924	0.2200351135
925	0.2200183476
926	0.220009856
927	0.2200014921
928	0.2199876687
929	0.2199691376
930	0.2199627764
931	0.2199431212
932	0.2199275269
933	0.2199153407
934	0.219887131
935	0.219877669
936	0.2198683009
937	0.2198549043
938	0.2198439147
939	0.219835724
940	0.2198248064
941	0.2198131435
942	0.2197954328
943	0.2197650262
944	0.2197519783
945	0.2197428781
946	0.2197228095
947	0.2197118971
948	0.2197052727
949	0.2196956511
950	0.2196851537
951	0.2196765048
952	0.2196687365
953	0.2196559262
954	0.2196412695
955	0.2196300159
956	0.2196168386
957	0.2196013138
958	0.2195893948
959	0.2195800674
960	0.2195648087
961	0.2195386909
962	0.2195243394
963	0.2195116562
964	0.2194862231
965	0.2194766478
966	0.2194635658
967	0.2194579642
968	0.2194472622
969	0.2194338748
970	0.2194233062
971	0.2194142212
972	0.2194007228
973	0.2193896176
974	0.2193782519
975	0.2193550824
976	0.2193381614
977	0.2193249337
978	0.2193105995
979	0.219294628
980	0.2192837634
981	0.2192768045
982	0.2192695128
983	0.2192500849
984	0.2192361997
985	0.2192221026
986	0.2192073759
987	0.2191920662
988	0.2191806637
989	0.2191727115
990	0.2191617443
991	0.2191462147
992	0.2191356187
993	0.2191226187
994	0.2191078249
995	0.2190839107
996	0.2190698713
997	0.2190613798
998	0.2190473135
